Title,Price,Location
Straight-forward deal,"$299,999",Lancaster
"50 Acres Mt Shasta, Remote, Raw Land, Beautiful Location","$2,900",Mt Shasta
"REMODELED 3 BR, 1.5 BATH SINGLE FAMILY HOUSE FOR SALE","$410,000",Lancaster
"Davao City, Philippines 500sqm lot Villa de Mercedes","$142,000",Toril
Vacant Land 2.25 Acres in Kern County,"$5,995",westside-southbay-310
Apartment for Rent,"$2,193",8165 Langdon Ave Van Nuys
Malibu One Bedroom On The Beach,"$999,000",Malibu
Apartment for Rent,"$1,899",14630 Saticoy Street Van Nuys
Apartment for Rent,"$1,899","2615-2623 Euclid St, Santa Monica CA"
"$599,000 GENERAL PLAN DESIGNATION IS C36/VR15. SAN DIEGO LAND FRONTAGE","$599,000",San Diego
"$2,500,000/ 3br - 1444 sq ft - 20 ACRE RANCH IN ALPINE (EAST SAN DIEGO","$2,500,000",long beach / 562
***Super opportunity 3000 ac Ranch***,"$6,500,000",Exeter
"1920's Spanish style home, 2 + 1 on almost 6,000 sq.ft lot","$4,500",Mar Vista
"Wonderful huge 1 bed., 1 1/2 bath in Westwood. $549,900","$549,900",Westwood
"Beautiful 2 + Den, 2 1/2 ba TH for sale. Save up to 70% on commissions","$675,000",Sherman Oaks
"Mar Vista home! 1920's Spanish Style Home, huge lot, expansion ready","$1,429,999",Mar Vista
"Huge Westwood condo for sale, 1040 sq. ft. 1 + 1 1/2 bath","$549,900",Mar Vista
Real Estate Investors Padsplit Big Income Opportunity in ATL,"$399,000","Fairburn, GA"
SPECTACULAR 50 ACRE RANCH with VIEWS and MOVE-IN READY 3BR/2BA HOME,"$549,000",Caliente (Walker Basin)
4 bitcoins for $60k,"$60,000",westside-southbay-310
Apartment for Rent,"$2,400","2615-2623 Euclid St, Santa Monica CA"
PRIME VILLAGE COTTAGE on DOUBLE R2 LOT @ Main Beach!,"$3,695,000",LAGUNA BEACH @ Main Beach
"House sale built 2023 RV Horse 🐴 Property 38,000 lot RV room for ADU","$1,688,888",Covina
Out of Town    House/Property,"$225,000","Slocomb, Alabama"
Fenced property,"$20,000",North Edwards
Warehouse for lease,$0,South El Monte
"6-bedroom, 6-bathroom Mediterranean",$0,Northridge
1.25 Acres of LAND in California City with Mineral Rights,"$15,000",California City
⭐⭐Newly Remodeled and Completely Redone 2 Story Home Near USC ⭐⭐,$1,USC
☀️ Freshly Revovated Home w/ Open Floorplan + Large Loft  ☀️,$1,Highland Park
🏡🏡  Turn-Key Home w/ New Roof & Windows + NO HOA  🏡🏡,$1,Highland Park
CALIFORNIA. LA . FOR THE REAL ESTATE BUYERS By This Real Estate Broker,$0,A . G . R . A . N . T . TO . BUYERS . $$$$$ . LA SFV CA USA
DO YOU NEED TO SELL✅  YOUR HOME?✅TEXT NOW!,"$1,000,000",westside-southbay-310
For sale 3 beds 1 bath home,"$774,900",Norwalk
California Land is HOT! - Lithium Storage Battery Farm Site -,"$9,570,000",Rosamond
California Land is HOT ! Lithium Storage Battery Farm Site,"$9,570,000",Rosamond
Off Market Mixed Used Property For Sale,"$1,399,000",Lynwood
Off Market Mixed Used Property For Sale,"$1,399,000",Lynwood
Downey R-3 LOT,$0,antelope valley
Downey R-3 LOT,$0,westside-southbay-310
1 Acre Cottonwood Cove lot Lake Mohave,"$3,000",Lake Mohave Arizona
HALF ACRE INDUSTRIAL LOT NEAR LAKE TAHOE CARSON CITY RENO NEVADA,$0,Los Angeles
"Investor Special - Builder model for pre-purchase, new construction","$300,000",East San Diego (El Cajon)
ANTELOPE VALLEY LARGE LAND Palmdale Lancaster Littlerock Pearblossom,$0,N . E . E . D -- S . E . L . L - H. I. G. H. Rosamond Gorman
5 acres flat land in Phelan lease or sale *Grow *Bees,"$45,000",pinon hills
grow house / rustic hunting cabin / Rec,"$155,000",pinon hills
Acre of Land for sale in 96101 Zip code,"$4,299","Alturas, Modoc County"
Prime California City Parcel in Town,"$29,000",California City
TOWNHOUSE VIEW VIEW VIEW BY ROTARY PARK,"$145,000",Bullhead City az
TOWNHOUSE VIEW VIEW VIEW BY ROTARY PARK,"$145,000",Bullhead City az
"LAND AS ALL UTILITIES , must see for your self","$35,000",bullhead city
"shower/tub. A spacious dog park, personal washer & dryer,","$1,700","Agoura Hills, CA"
"shower/tub. A spacious dog park, personal washer & dryer,","$1,700","Agoura Hills, CA"
"Calif City, Johnson Valley, Salton City, No Edwards",$0,California City
"Calif City, Johnson Valley, Salton City, No Edwards",$0,California City
2 Residential lots in Pahrump Nevada,"$10,000",Pahrump
"$3,465 / 2br - 1298ft - Situated in Los Angeles!, 2/bd 2/ba, Custom Maple Cabine","$3,465",Canoga Park
Se)l your mobile home,"$3,000",central LA 213/323
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
FOUR POST PHANTOMPARK SUBTERRANEAN INDOOR OUTDOOR VEHICLE LIFT,"$17,999",Los Angeles
5 burial plots at inglewood memorial park,"$15,000",inglewood
House or Duplex to move into in or around Echo Park,$0,"Los Angeles, Ca"
Will take  over your late of Defaulted Mortgage Payments,$0,"Los Angeles, Ca"
Looking for property that may go into foreclosure in all areas,$0,"Los Angeles, Ca"
Large Real Estate Note for sale,$0,"Los Angeles, Ca"
Echo Park Duplex near Echo Park Lake,$0,"Los Angeles, Ca"
Large House &  Retail Stores near Dodger Stadiumt,$0,"Los Angeles, Ca"
Properties with Bill boards in all areas to buy,$0,"Los Angeles, Ca"
Trade my  Real Estate for?,$0,"Los Angeles, Ca"
Echo Park-2 Bedroom House & 2 Retail Stores on Street,$0,"Los Angeles, Ca"
"House, Units, Commercial in Yorba Linda want",$0,"Yorba Linda, Ca"
Large fixer house in Pasadena area to buy,$0,"Pasadena, Ca"
Looking for any kind of property in Echo Park to move into-,$0,Echo Prk
Oakland-4 Large Units in a great area near Hospital,$0,"Oakland, Ca"
